ajre2-L02
Graph Created on: 2024-07-22 12:55:40.250
Recording on: 2024-07-22 12:58:21.171
2 msec/sample
3 channels
EMG
mV
Integrated EMG (est.)
mV-sec
Clench Force
kg
CH1	CH40	CH41	
55222 samples	55222 samples	55222 samples	
0.110474	0.00110474	0.0174386	
0.0183105	0.00128784	0.0174386	
-0.0531006	0.00181885	0.0174386	
0.0341797	0.00216064	0.0174386	
0.0238037	0.00239868	0.0174386	
0.0463867	0.00286255	0.0174386	
-0.0543213	0.00340576	0.0174386	
-0.0500488	0.00390625	0.0174386	
0.0341797	0.00424805	0.0174386	
0.055542	0.00480347	0.0174386	
-0.0976563	0.00578003	0.0174386	
0.00549316	0.00583496	0.0174386	
0.0317383	0.00615234	0.0174386	
0.020752	0.00635986	0.0174386	
0.0518799	0.00687866	0.0174386	
-0.0524902	0.00740356	0.0174386	
0.00854492	0.00748901	0.0174386	
0.0958252	0.00844727	0.0174386	
-0.0500488	0.00894775	0.0174386	
-0.0250244	0.009198	0.0174386	
0.0323486	0.00952148	1.11022E-16	
-0.0134277	0.00965576	1.11022E-16	
0.0744629	0.0104004	1.11022E-16	
-0.0579834	0.0109802	1.11022E-16	
-0.0115967	0.0110962	1.11022E-16	
0.101929	0.0121155	1.11022E-16	
0.0360107	0.0124756	1.11022E-16	
-0.0360107	0.0128357	0.0174386	
0.032959	0.0131653	0.0174386	
0.0323486	0.0134888	0.0174386	
0.045166	0.0139404	0.0174386	
-0.00549316	0.0139954	0.0174386	
-0.055542	0.0145508	0.0174386	
0.0201416	0.0147522	1.11022E-16	
0.0854492	0.0156067	1.11022E-16	
-0.0842285	0.016449	1.11022E-16	
0.0244141	0.0166931	1.11022E-16	
0.0323486	0.0170166	1.11022E-16	
0.0109863	0.0171265	1.11022E-16	
0.0549316	0.0176758	0	
-0.0537109	0.0182129	0	
0.0115967	0.0183289	0	
0.098877	0.0193176	1.11022E-16	
-0.0378418	0.019696	1.11022E-16	
-0.0219727	0.0199158	1.11022E-16	
0.0463867	0.0203796	1.11022E-16	
0.00732422	0.0204529	1.11022E-16	
0.0524902	0.0209778	1.11022E-16	
-0.0628662	0.0216064	1.11022E-16	
0.0189209	0.0217957	1.11022E-16	
0.101929	0.0228149	1.11022E-16	
0.0115967	0.0229309	1.11022E-16	
-0.0506592	0.0234375	1.11022E-16	
0.0280762	0.0237183	1.11022E-16	
-0.00244141	0.0237427	1.11022E-16	
0.0549316	0.024292	1.11022E-16	
-0.020752	0.0244995	1.11022E-16	
-0.0811768	0.0253113	1.11022E-16	
0.0531006	0.0258423	1.11022E-16	
0.0817871	0.0266602	1.11022E-16	
-0.101929	0.0276794	1.11022E-16	
0.00549316	0.0277344	1.11022E-16	
0.0366211	0.0281006	1.11022E-16	
0.0299072	0.0283997	1.11022E-16	
0.0256348	0.028656	1.11022E-16	
-0.0683594	0.0293396	1.11022E-16	
0.0170898	0.0295105	1.11022E-16	
0.0915527	0.030426	0	
-0.0592041	0.0310181	0	
-0.0115967	0.031134	0	
0.0274658	0.0314087	0	
-0.00488281	0.0314575	0	
0.0750732	0.0322083	0	
-0.0726318	0.0329346	0	
0.0109863	0.0330444	0	
0.108032	0.0341248	0	
0.0500488	0.0346252	0	
-0.0146484	0.0347717	0	
0.043335	0.0352051	1.11022E-16	
0.00305176	0.0352356	1.11022E-16	
0.0524902	0.0357605	1.11022E-16	
-0.0238037	0.0359985	0	
-0.0579834	0.0365784	0	
0.03479	0.0369263	0	
0.0402832	0.0373291	0	
-0.119019	0.0385193	0	
0.00976563	0.0386169	0	
0.0323486	0.0389404	0	
0.00671387	0.0390076	0	
0.0500488	0.0395081	0	
-0.0714111	0.0402222	0	
0.0164795	0.040387	0	
0.0933838	0.0413208	0	
-0.0421143	0.0417419	0	
-0.0219727	0.0419617	0	
0.0616455	0.0425781	0	
0.00366211	0.0426147	0	
0.10376	0.0436523	0	
-0.0482178	0.0441345	0	
-0.0140381	0.0442749	0	
0.0891113	0.0440613	0	
0.0354004	0.0442322	0	
-0.057373	0.0442749	0	
0.0128174	0.0440613	0	
-0.0238037	0.0440613	0	
0.0280762	0.0438782	0	
-0.0524902	0.0438599	0	
-0.0762939	0.0441223	0	
0.0378418	0.0441589	0	
0.057373	0.0441772	0	
-0.0799561	0.0440002	0	
-0.00366211	0.0439819	0	
0.0408936	0.0440735	0	
0.0286865	0.0441528	0	
0.0488281	0.0441223	0	
-0.0665283	0.0442627	0	
0.0170898	0.0443481	0	
0.102539	0.0444153	0	
-0.0396729	0.0443115	0	
-0.0268555	0.0443298	0	
0.0219727	0.0442261	0	
-0.00305176	0.0441223	0	
0.0585938	0.0439636	0	
-0.067749	0.0440613	0	
-0.00732422	0.0440186	0	
0.0866699	0.043866	0	
0.0250244	0.0437561	0	
-0.0256348	0.0436523	0	
0.00854492	0.0434082	0	
0.0213623	0.0432983	0	
0.043335	0.04328	0	
-0.022583	0.0434509	0	
-0.0549316	0.0434448	0	
0.0463867	0.0437073	0	
0.055542	0.0434082	0	
-0.102539	0.0435913	0	
0.00244141	0.0433716	0	
0.0378418	0.0434265	0	
0	0.0433167	0	
0.0311279	0.0430786	0	
-0.0469971	0.0430115	0	
-0.000610352	0.0429016	0	
0.0750732	0.0426636	0	
-0.0494385	0.0427795	0	
-0.0256348	0.0428162	0	
0.0384521	0.0427368	0	
-0.0299072	0.0429626	0	
0.0506592	0.0429443	0	
-0.0628662	0.0429443	0	
-0.00305176	0.0427856	0	
0.0805664	0.042572	0	
0.0152588	0.0426086	0	
-0.0360107	0.0424622	0	
0.0158691	0.0423401	0	
0.0305176	0.0426208	0	
0.0683594	0.0427551	0	
-0.0579834	0.0431274	0	
-0.0524902	0.0428406	0	
0.0640869	0.0429504	0	
0.0714111	0.0428467	0	
-0.115356	0.042981	0	
0.0115967	0.043042	0	
0.0585938	0.0432617	0	
0.0164795	0.0431274	0	
0.0439453	0.0433105	0	
-0.0738525	0.0433655	0	
0.0244141	0.0434387	0	
0.124512	0.0437683	0	
-0.0933838	0.0441101	0	
-0.0274658	0.0442688	0	
0.0567627	0.0445618	0	
-0.0146484	0.0446594	0	
0.0610352	0.044519	0	
-0.0653076	0.0444458	0	
-0.0360107	0.044696	0	
0.10498	0.0446655	0	
0.0213623	0.0443787	0	
-0.0390625	0.0446228	0	
0.0280762	0.0444702	0	
0.0189209	0.0446289	0	
0.0244141	0.0443481	0	
-0.0354004	0.0444641	0	
-0.0549316	0.0444336	0	
0.0415039	0.0445007	0	
0.0775146	0.044873	0	
-0.108032	0.0447632	0	
-0.0213623	0.0448792	0	
0.0836182	0.0453918	0	
0.022583	0.0455505	0	
0.0311279	0.0453613	0	
-0.0653076	0.0453003	0	
0.0256348	0.0453918	0	
0.106201	0.04552	0	
-0.0567627	0.0456665	0	
-0.0292969	0.0457397	0	
0.0250244	0.0453735	0	
-0.0201416	0.0455383	0	
0.0726318	0.0452271	0	
-0.0622559	0.0453674	0	
-0.010376	0.0453308	0	
0.112915	0.0455688	0	
0.0378418	0.0455933	0	
-0.0305176	0.0453247	0	
0.0323486	0.04552	0	
0.0189209	0.0454712	0	
0.0512695	0.0457031	0	
-0.0152588	0.0453308	0	
-0.0561523	0.0451294	0	
0.0146484	0.0448975	0	
0.0653076	0.0449768	0	
-0.0878906	0.0450562	0	
-0.00793457	0.0450989	0	
0.0360107	0.04505	0	
0.0354004	0.0451172	0	
0.0280762	0.0449097	0	
-0.0604248	0.0448486	0	
0	0.0446777	0	
0.112915	0.0447815	0	
-0.0445557	0.0448303	0	
-0.0744629	0.0453064	0	
0.0323486	0.0454102	0	
-0.00854492	0.0454651	0	
0.0524902	0.0454041	0	
-0.0830078	0.0455566	0	
-0.010376	0.0455872	0	
0.0939941	0.0456604	0	
0.0177002	0.0455872	0	
-0.057373	0.0459045	0	
0.0317383	0.0461365	0	
0.0238037	0.0461609	0	
0.0280762	0.0460083	0	
-0.0201416	0.0459839	0	
-0.0549316	0.0459839	0	
0.0323486	0.0458435	0	
0.0714111	0.0460022	0	
-0.0872803	0.0458496	0	
0.00244141	0.0458496	0	
0.0469971	0.0459412	0	
0.0268555	0.0462097	0	
0.0622559	0.046521	0	
-0.0457764	0.0465088	0	
0.00183105	0.046521	0	
0.109863	0.0468689	0	
-0.0274658	0.0466492	0	
-0.0396729	0.0467896	0	
0.0354004	0.046759	0	
-0.0170898	0.0466309	0	
0.0646973	0.0467712	0	
-0.0817871	0.0469604	0	
-0.010376	0.0470337	0	
0.0830078	0.0470581	0	
0.0195313	0.0471008	0	
-0.057373	0.0473145	0	
0.0439453	0.0475952	0	
0.0341797	0.0476318	0	
0.0427246	0.0473755	0	
-0.0262451	0.0470581	0	
-0.0384521	0.0469177	0	
0.0653076	0.0469299	0	
0.0744629	0.0469604	0	
-0.090332	0.0467102	0	
0.0146484	0.0467407	0	
0.0463867	0.0466187	0	
0.0238037	0.0466919	0	
0.0292969	0.0465454	0	
-0.0469971	0.0462769	0	
-0.010376	0.0461365	0	
0.0927734	0.0458191	0	
-0.0366211	0.0452515	0	
-0.0280762	0.0452576	0	
0.00610352	0.044751	0	
0.0012207	0.0446167	0	
0.105591	0.0450623	0	
-0.065918	0.0450684	0	
-0.00854492	0.0447937	0	
0.098877	0.0447327	0	
0.0366211	0.0448853	0	
-0.0720215	0.0452148	0	
0.0280762	0.0452148	0	
0.0238037	0.0452637	0	
0.0189209	0.0452087	0	
-0.0390625	0.0452454	0	
-0.0769043	0.0454651	0	
0.0402832	0.0454529	0	
0.0744629	0.0454224	0	
-0.0915527	0.0452576	0	
0.0109863	0.0451538	0	
0.0524902	0.0448425	0	
0.0140381	0.0447571	0	
0.0823975	0.0452698	0	
-0.0427246	0.0450439	0	
0.0317383	0.045105	0	
0.0927734	0.0449707	0	
-0.03479	0.044751	0	
-0.022583	0.0446838	0	
0.0268555	0.0447021	0	
-0.0219727	0.0447205	0	
0.0463867	0.044458	0	
-0.0946045	0.0447815	0	
-0.0335693	0.0450134	0	
0.0793457	0.0446777	0	
0.012207	0.0444214	0	
-0.043335	0.0445496	0	
0.0585938	0.044812	0	
0.0506592	0.0451294	0	
0.0488281	0.045105	0	
-0.0128174	0.0450806	0	
-0.010376	0.0446228	0	
0.0665283	0.0451416	0	
0.0750732	0.0452393	0	
-0.108643	0.0454468	0	
-0.00244141	0.0453918	1.11022E-16	
0.0628662	0.0456604	1.11022E-16	
0.00305176	0.0453369	1.11022E-16	
0.067749	0.0457336	1.11022E-16	
-0.0408936	0.0455383	1.11022E-16	
0.00732422	0.0456116	1.11022E-16	
0.108643	0.0455688	1.11022E-16	
-0.0231934	0.0453552	1.11022E-16	
0.0213623	0.0448242	1.11022E-16	
0.0372314	0.044873	1.11022E-16	
-0.00549316	0.0448425	0	
0.101318	0.0453308	0	
-0.0854492	0.0453552	0	
-0.0653076	0.0459045	0	
0.0720215	0.0456848	0	
0.0323486	0.0458313	0	
-0.0994873	0.0462524	1.11022E-16	
-0.0256348	0.0461914	1.11022E-16	
-0.00427246	0.0459961	1.11022E-16	
0.0152588	0.0458679	1.11022E-16	
-0.0421143	0.0460876	1.11022E-16	
-0.057373	0.0461121	1.11022E-16	
0.0543213	0.0463318	1.11022E-16	
0.0714111	0.0463318	1.11022E-16	
-0.0805664	0.0462646	1.11022E-16	
0.00854492	0.0463257	0	
0.0250244	0.046106	0	
0.0286865	0.0461243	0	
0.0622559	0.0461243	0	
-0.0170898	0.0458374	0	
0.0280762	0.0460999	0	
0.128174	0.046283	0	
-0.0537109	0.0465454	0	
-0.032959	0.0464783	0	
0.0756836	0.0468811	1.11022E-16	
0	0.0467102	1.11022E-16	
0.0823975	0.0468872	1.11022E-16	
-0.0891113	0.0469604	1.11022E-16	
-0.0421143	0.0472778	1.11022E-16	
0.100708	0.0474548	1.11022E-16	
0.057373	0.0478333	1.11022E-16	
-0.0537109	0.0477966	1.11022E-16	
0.0317383	0.0476746	1.11022E-16	
0.00793457	0.0474121	1.11022E-16	
0.0445557	0.0474304	1.11022E-16	
-0.00915527	0.0472595	1.11022E-16	
-0.0494385	0.0473694	1.11022E-16	
0.0524902	0.0472412	1.11022E-16	
0.0469971	0.0469666	1.11022E-16	
-0.125122	0.0473145	0.0174386	
0.0250244	0.0474182	0.0174386	
0.0524902	0.0474792	0.0174386	
-0.0292969	0.0475342	0.0174386	
