avlc1-L02
Graph Created on: 2024-07-22 12:03:48.823
Recording on: 2024-07-22 12:08:14.680
2 msec/sample
3 channels
EMG
mV
Integrated EMG (est.)
mV-sec
Clench Force
kg
CH1	CH40	CH41	
58834 samples	58834 samples	58834 samples	
0	0	0.139509	
0.0341797	0.000341797	0.139509	
0.0732422	0.00107422	0.139509	
-0.00610352	0.00113525	0.139509	
0.0109863	0.00124512	0.139509	
0.0360107	0.00160522	0.139509	
0.00915527	0.00169678	0.139509	
0.0476074	0.00217285	0.139509	
-0.0231934	0.00240479	0.139509	
0.0231934	0.00263672	0.139509	
0.0689697	0.00332642	0.139509	
0.0299072	0.00362549	0.139509	
-0.00244141	0.0036499	0.139509	
0.0384521	0.00403442	0.139509	
0.0415039	0.00444946	0.139509	
0.0469971	0.00491943	0.139509	
0.00549316	0.00497437	0.139509	
-0.00183105	0.00499268	0.139509	
0.0421143	0.00541382	0.139509	
0.0439453	0.00585327	0.139509	
-0.0152588	0.00600586	0.139509	
0.0439453	0.00644531	0.139509	
0.0445557	0.00689087	0.139509	
0.0183105	0.00707397	0.139509	
0.0537109	0.00761108	0.139509	
0.00549316	0.00766602	0.139509	
0.0396729	0.00806274	0.139509	
0.0683594	0.00874634	0.139509	
0	0.00874634	0.139509	
0.0231934	0.00897827	0.139509	
0.03479	0.00932617	0.139509	
0.00671387	0.00939331	0.12207	
0.0640869	0.0100342	0.12207	
-0.00427246	0.0100769	0.12207	
0.00915527	0.0101685	0.12207	
0.0579834	0.0107483	0.12207	
0.0262451	0.0110107	0.139509	
-0.0164795	0.0111755	0.139509	
0.0482178	0.0116577	0.139509	
0.0384521	0.0120422	0.139509	
0.0415039	0.0124573	0.139509	
-0.0280762	0.012738	0.139509	
0.00549316	0.012793	0.139509	
0.0543213	0.0133362	0.139509	
0.0250244	0.0135864	0.139509	
-0.0463867	0.0140503	0.139509	
0.0183105	0.0142334	0.139509	
0.0201416	0.0144348	0.139509	
0.00854492	0.0145203	0.139509	
0.0341797	0.0148621	0.139509	
-0.0195313	0.0150574	0.139509	
0.0201416	0.0152588	0.139509	
0.0592041	0.0158508	0.139509	
-0.00854492	0.0159363	0.139509	
0.00976563	0.0160339	0.139509	
0.0415039	0.016449	0.139509	
0.0183105	0.0166321	0.139509	
0.0311279	0.0169434	0.139509	
-0.0213623	0.017157	0.139509	
0.0238037	0.017395	0.139509	
0.0604248	0.0179993	0.139509	
0.0408936	0.0184082	0.139509	
-0.00732422	0.0184814	0.139509	
0.0250244	0.0187317	0.139509	
0.0286865	0.0190186	0.139509	
0.0531006	0.0195496	0.139509	
-0.0231934	0.0197815	0.12207	
-0.00976563	0.0198792	0.12207	
0.0280762	0.0201599	0.12207	
0.0335693	0.0204956	0.12207	
-0.0439453	0.0209351	0.12207	
0.00976563	0.0210327	0.12207	
0.0299072	0.0213318	0.12207	
0.012207	0.0214539	0.12207	
0.0445557	0.0218994	0.12207	
0.00305176	0.0219299	0.139509	
0.0299072	0.022229	0.139509	
0.0732422	0.0229614	0.139509	
0.00427246	0.0230042	0.139509	
0.0128174	0.0231323	0.139509	
0.0360107	0.0234924	0.139509	
