casm2-L02
Graph Created on: 2024-07-22 12:46:48.718
Recording on: 2024-07-22 12:48:14.176
2 msec/sample
3 channels
EMG
mV
Integrated EMG (est.)
mV-sec
Clench Force
kg
CH1	CH40	CH41	
61007 samples	61007 samples	61007 samples	
0.0305176	0.000305176	3.88578E-16	
0.010376	0.000408936	3.88578E-16	
0.0183105	0.000592041	3.88578E-16	
-0.0274658	0.000866699	3.88578E-16	
0.010376	0.000970459	3.88578E-16	
0.0311279	0.00128174	3.88578E-16	
0.0170898	0.00145264	3.88578E-16	
-0.022583	0.00167847	3.88578E-16	
0.022583	0.0019043	3.88578E-16	
0.0421143	0.00232544	3.88578E-16	
0.0286865	0.0026123	3.88578E-16	
0.0134277	0.00274658	0.0174386	
-0.010376	0.00285034	0.0174386	
0.0189209	0.00303955	0.0174386	
0.055542	0.00359497	0.0174386	
-0.0280762	0.00387573	0.0174386	
0	0.00387573	0.0174386	
0.0341797	0.00421753	0.0174386	
0.0109863	0.00432739	3.88578E-16	
0.00366211	0.00436401	3.88578E-16	
-0.020752	0.00457153	3.88578E-16	
0.0219727	0.00479126	3.88578E-16	
0.0531006	0.00532227	3.88578E-16	
0.00488281	0.00537109	3.88578E-16	
-0.0012207	0.0053833	3.88578E-16	
-0.000610352	0.0053894	3.88578E-16	
0.0152588	0.00554199	3.88578E-16	
0.0286865	0.00582886	3.88578E-16	
-0.022583	0.00605469	3.88578E-16	
-0.00732422	0.00612793	3.88578E-16	
0.022583	0.00635376	3.88578E-16	
0.0238037	0.0065918	3.88578E-16	
-0.03479	0.0069397	3.88578E-16	
0.0140381	0.00708008	3.88578E-16	
0.0299072	0.00737915	3.88578E-16	
0.000610352	0.00738525	3.88578E-16	
0.0183105	0.00756836	3.88578E-16	
-0.00671387	0.0076355	3.88578E-16	
0.00305176	0.00766602	3.88578E-16	
0.0396729	0.00806274	3.88578E-16	
-0.0189209	0.00825195	3.88578E-16	
0.00488281	0.00830078	3.88578E-16	
0.0189209	0.00848999	3.88578E-16	
0.00183105	0.0085083	3.88578E-16	
0.0415039	0.00892334	3.88578E-16	
-0.0231934	0.00915527	3.88578E-16	
0.0250244	0.00940552	3.88578E-16	
0.043335	0.00983887	3.88578E-16	
0.022583	0.0100647	3.88578E-16	
-0.0158691	0.0102234	3.88578E-16	
0.0219727	0.0104431	3.88578E-16	
0.00732422	0.0105164	3.88578E-16	
0.010376	0.0106201	3.88578E-16	
0.00244141	0.0106445	3.88578E-16	
-0.0183105	0.0108276	3.88578E-16	
0.0158691	0.0109863	3.88578E-16	
0.0311279	0.0112976	3.88578E-16	
-0.0134277	0.0114319	3.88578E-16	
-0.00671387	0.011499	3.88578E-16	
0.0152588	0.0116516	3.88578E-16	
0.0238037	0.0118896	3.88578E-16	
0.0299072	0.0121887	3.88578E-16	
-0.0219727	0.0124084	3.88578E-16	
-0.00671387	0.0124756	3.88578E-16	
0.0408936	0.0128845	3.88578E-16	
-0.0195313	0.0130798	3.88578E-16	
0.00183105	0.0130981	3.88578E-16	
0.0274658	0.0133728	3.88578E-16	
0.0115967	0.0134888	3.88578E-16	
0.0384521	0.0138733	3.88578E-16	
-0.00183105	0.0138916	3.88578E-16	
0.0201416	0.014093	3.88578E-16	
0.0537109	0.0146301	0	
0.0378418	0.0150085	0	
0.00793457	0.0150879	0	
0.0152588	0.0152405	0	
0.0280762	0.0155212	0	
0.0311279	0.0158325	0	
0.00427246	0.0158752	3.88578E-16	
0.00366211	0.0159119	3.88578E-16	
0.00183105	0.0159302	3.88578E-16	
0.0292969	0.0162231	3.88578E-16	
-0.020752	0.0164307	3.88578E-16	
0.0195313	0.016626	3.88578E-16	
0.0201416	0.0168274	3.88578E-16	
-0.00610352	0.0168884	3.88578E-16	
0.00610352	0.0169495	0.0174386	
-0.010376	0.0170532	0.0174386	
0.00244141	0.0170776	0.0174386	
0.0482178	0.0175598	0.0174386	
-0.0140381	0.0177002	3.88578E-16	
-0.0109863	0.0178101	3.88578E-16	
0.0280762	0.0180908	3.88578E-16	
0.00671387	0.018158	3.88578E-16	
0.0360107	0.0185181	3.88578E-16	
-0.0146484	0.0186646	3.88578E-16	
0.0128174	0.0187927	3.88578E-16	
